year,state_po,district,candidate,party,voteshare
1976,MI,14,Hilty,u.s. labor,0.122475
1976,MI,14,Getz,republican,32.780548
1976,MI,14,Geary,human rights,0.292579
1976,MI,14,Severs,socialist workers,0.120000
1976,MI,14,Moser,libertarian,0.187423
1976,MI,14,Nedzi,democrat,66.496975
1976,MI,15,Walaskay,republican,24.709555
1976,MI,15,Sarkisian,socialist labor,0.192999
1976,MI,15,Ford,democrat,73.991170
1976,MI,15,Fuhrmann,american independent,0.489436
1976,MI,15,Augustin,libertarian,0.470514
1976,MI,15,Douglas,u.s. labor,0.146326
1976,MI,16,Rostron,republican,22.687472
1976,MI,16,Bechler,socialist workers,0.204560
1976,MI,16,Hancock,libertarian,0.301851
1976,MI,16,Dalto,u.s. labor,0.288754
1976,MI,16,Miller,american independent,0.629272
1976,MI,16,Dingell,democrat,75.888091
1976,MI,17,Wallace,socialist workers,0.279086
1976,MI,17,Burdick,republican,34.444932
1976,MI,17,Brodhead,democrat,64.216024
1976,MI,17,Novess,libertarian,0.162326
1976,MI,17,Elliott,u.s. labor,0.110495
1976,MI,17,Bakken,american independent,0.787137
1976,MI,18,Horvath,socialist labor,0.139101
1976,MI,18,Blanchard,democrat,66.120465
1976,MI,18,Drexler,american independent,0.613873
1976,MI,18,Rising,libertarian,0.212680
1976,MI,18,Keller,u.s. labor,0.155214
1976,MI,18,Olsen,republican,32.758667
1976,MI,19,Simpson,u.s. labor,0.132561
1976,MI,19,Barbone,libertarian,0.250955
1976,MI,19,Muotka,american independent,0.379974
1976,MI,19,Broomfield,republican,66.684712
1976,MI,19,Becker,democrat,32.551797
1976,MN,1,Duwe,american,1.279700
1976,MN,1,Quic,republican,68.246517
1976,MN,1,Olson,democrat,30.473783
1976,MN,2,Hagedorn,republican,60.340100
1976,MN,2,Griffin,democrat,39.659900
1976,MN,3,Mathias,american,1.952461
1976,MN,3,Frenzel,republican,66.093170
1976,MN,3,Coughlin,democrat,31.954369
1976,MN,4,Engebretson,republican,29.794266
1976,MN,4,Piotrowski,libertarian,1.355939
1976,MN,4,Vento,democrat,66.442006
1976,MN,4,Uhl,independent,1.515461
1976,MN,4,Schwartz,socialist workers,0.892327
1976,MN,5,Fraser,democrat,70.662488
1976,MN,5,Erdall,republican,25.953496
1976,MN,5,Kirkham,american,1.630401
1976,MN,5,Frank,socialist workers,0.932534
1976,MN,5,Haws,libertarian,0.547046
1976,MN,5,Brust,workers,0.274034
1976,MN,6,Anderson,republican,40.209884
1976,MN,6,Nolan,democrat,59.790116
1976,MN,7,Bergland,democrat,72.044929
1976,MN,7,Leiseth,republican,26.624922
1976,MN,7,Carlson,libertarian,1.330149
1976,MN,8,Oberstar,democrat,100.000000
1976,MS,1,Whitten,democrat,100.000000
1976,MS,2,Bowen,democrat,63.010917
1976,MS,2,Wells,american,1.241892
1976,MS,2,Byrd,republican,35.747191
1976,MS,3,Montgomery,democrat,93.944356
1976,MS,3,Cleveland,republican,6.055644
1976,MS,4,Norman,american,1.400095
1976,MS,4,Cochran,republican,76.044244
1976,MS,4,Latham,independent,0.947433
1976,MS,4,Davis,democrat,21.608229
1976,MS,5,Lott,republican,68.212007
1976,MS,5,Blessey,democrat,31.787993
1976,MO,1,Clay,democrat,65.555923
1976,MO,1,Witherspoon,republican,34.444077
1976,MO,2,Snyder,republican,48.910838
1976,MO,2,Young,democrat,51.089162
1976,MO,3,Gephardt,democrat,63.690437
1976,MO,3,Badaracco,republican,36.309563
1976,MO,4,King,republican,44.134226
1976,MO,4,Skelton,democrat,55.865774
1976,MO,5,Collins,republican,28.105487
