date,region,candidate,party,voteshare,version
11/7/2000,Antrim__MI,Gore,democrat,0.37620578778135,20191203
11/7/2000,Antrim__MI,Bush,republican,0.589206569913965,20191203
11/7/2000,Antrim__MI,Nader,green,0.0271139306509081,20191203
11/7/2000,Antrim__MI,Other,NA,0.00747371165377596,20191203
11/7/2000,Apache__AZ,Gore,democrat,0.669459292763158,20191203
11/7/2000,Apache__AZ,Bush,republican,0.3056640625,20191203
11/7/2000,Apache__AZ,Nader,green,0.0125925164473684,20191203
11/7/2000,Apache__AZ,Other,NA,0.0122841282894737,20191203
11/7/2000,Appanoose__IA,Gore,democrat,0.448807854137447,20191203
11/7/2000,Appanoose__IA,Bush,republican,0.524544179523142,20191203
11/7/2000,Appanoose__IA,Nader,green,0.0184081346423562,20191203
11/7/2000,Appanoose__IA,Other,NA,0.0082398316970547,20191203
11/7/2000,Appling__GA,Gore,democrat,0.343171011641253,20191203
11/7/2000,Appling__GA,Bush,republican,0.646007542220036,20191203
11/7/2000,Appling__GA,Nader,green,0.000327922610263978,20191203
11/7/2000,Appling__GA,Other,NA,0.0104935235284473,20191203
11/7/2000,Appomattox__VA,Gore,democrat,0.359709802598279,20191203
11/7/2000,Appomattox__VA,Bush,republican,0.616500759237388,20191203
11/7/2000,Appomattox__VA,Nader,green,0.0104606040155222,20191203
11/7/2000,Appomattox__VA,Other,NA,0.0133288341488105,20191203
11/7/2000,Aransas__TX,Gore,democrat,0.319752637322663,20191203
11/7/2000,Aransas__TX,Bush,republican,0.65357099551352,20191203
11/7/2000,Aransas__TX,Nader,green,0.0220686310173396,20191203
11/7/2000,Aransas__TX,Other,NA,0.00460773614647751,20191203
11/7/2000,Arapahoe__CO,Gore,democrat,0.434943298480589,20191203
11/7/2000,Arapahoe__CO,Bush,republican,0.514725547798802,20191203
11/7/2000,Arapahoe__CO,Nader,green,0.0366006465131461,20191203
11/7/2000,Arapahoe__CO,Other,NA,0.0137305072074633,20191203
11/7/2000,Archer__TX,Gore,democrat,0.248436327245434,20191203
11/7/2000,Archer__TX,Bush,republican,0.738303727795847,20191203
11/7/2000,Archer__TX,Nader,green,0.00900675506629972,20191203
11/7/2000,Archer__TX,Other,NA,0.00425318989241931,20191203
11/7/2000,Archuleta__CO,Gore,democrat,0.300966792770071,20191203
11/7/2000,Archuleta__CO,Bush,republican,0.627994955863808,20191203
11/7/2000,Archuleta__CO,Nader,green,0.0556956704497688,20191203
11/7/2000,Archuleta__CO,Other,NA,0.0153425809163514,20191203
11/7/2000,Arenac__MI,Gore,democrat,0.507086830879317,20191203
11/7/2000,Arenac__MI,Bush,republican,0.470758222099904,20191203
11/7/2000,Arenac__MI,Nader,green,0.0161001788908766,20191203
11/7/2000,Arenac__MI,Other,NA,0.0060547681299023,20191203
11/7/2000,Arkansas__AR,Gore,democrat,0.4515065913371,20191203
11/7/2000,Arkansas__AR,Bush,republican,0.526208411801632,20191203
11/7/2000,Arkansas__AR,Nader,green,0.0102008788449466,20191203
11/7/2000,Arkansas__AR,Other,NA,0.0120841180163214,20191203
11/7/2000,Arlington__VA,Gore,democrat,0.601491161933484,20191203
11/7/2000,Arlington__VA,Bush,republican,0.341734582749913,20191203
11/7/2000,Arlington__VA,Nader,green,0.0472959226414869,20191203
11/7/2000,Arlington__VA,Other,NA,0.00947833267511579,20191203
11/7/2000,Armstrong__PA,Gore,democrat,0.405754293840936,20191203
11/7/2000,Armstrong__PA,Bush,republican,0.565510702694818,20191203
11/7/2000,Armstrong__PA,Nader,green,0.0176858841118769,20191203
11/7/2000,Armstrong__PA,Other,NA,0.0110491193523684,20191203
11/7/2000,Armstrong__TX,Gore,democrat,0.159914712153518,20191203
