date,region,state_po,special,runoff,offyear,candidate,party,writein,voteshare,
11/02/1982,Pennsylvania,PA,FALSE,FALSE,FALSE,Ertel,democratic,FALSE,0.481096692847555,
11/02/1982,Pennsylvania,PA,FALSE,FALSE,FALSE,Thornburgh,republican,FALSE,0.5083582044986610,
11/02/1982,Idaho,ID,FALSE,FALSE,FALSE,Batt,republican,FALSE,0.49355633004820500,
11/02/1982,Idaho,ID,FALSE,FALSE,FALSE,Evans,democratic,FALSE,0.506443669951795,
11/02/1982,Colorado,CO,FALSE,FALSE,FALSE,Gummerson,socialist workers,FALSE,0.0025899012678591800,
11/02/1982,Colorado,CO,FALSE,FALSE,FALSE,Dodge,prohibition,FALSE,0.003656823437978870,
11/02/1982,Colorado,CO,FALSE,FALSE,FALSE,Grant,libertarian,FALSE,0.020239095166319600,
11/02/1982,Colorado,CO,FALSE,FALSE,FALSE,Fuhr,republican,FALSE,0.31666668410003500,
11/02/1982,Colorado,CO,FALSE,FALSE,FALSE,Lamm,democratic,FALSE,0.6568474960278070,
11/02/1982,Oregon,OR,FALSE,FALSE,FALSE,Write-In,nonpartisan,TRUE,0.00043953555103650700,
11/02/1982,Oregon,OR,FALSE,FALSE,FALSE,Cleveland,libertarian,FALSE,0.02628960018579490,
11/02/1982,Oregon,OR,FALSE,FALSE,FALSE,Kulongoski,democratic,FALSE,0.359225304196029,
11/02/1982,Oregon,OR,FALSE,FALSE,FALSE,Atiyeh,republican,FALSE,0.6140455600671400,
11/02/1982,Nevada,NV,FALSE,FALSE,FALSE,Becan,libertarian,FALSE,0.019274163611413500,
11/02/1982,Nevada,NV,FALSE,FALSE,FALSE,None,independent,FALSE,0.02875483313938210,
11/02/1982,Nevada,NV,FALSE,FALSE,FALSE,List,republican,FALSE,0.417533190685336,
11/02/1982,Nevada,NV,FALSE,FALSE,FALSE,Bryan,democratic,FALSE,0.5344378125638680,
11/02/1982,Illinois,IL,FALSE,FALSE,FALSE,Others,other,TRUE,3.67478831177775E-05,
11/02/1982,Illinois,IL,FALSE,FALSE,FALSE,Roche,taxpayers,FALSE,0.005988816122031280,
11/02/1982,Illinois,IL,FALSE,FALSE,FALSE,Armstrong,libertarian,FALSE,0.006646467126568690,
11/02/1982,Illinois,IL,FALSE,FALSE,FALSE,Stevenson,democratic,FALSE,0.49297339643806900,
11/02/1982,Illinois,IL,FALSE,FALSE,FALSE,Thompson,republican,FALSE,0.49435457243021400,
11/02/1982,Iowa,IA,FALSE,FALSE,FALSE,Others,other,TRUE,0.0005307114326415460,
11/02/1982,Iowa,IA,FALSE,FALSE,FALSE,Bittner,socialist,FALSE,0.0026651153069313200,
11/02/1982,Iowa,IA,FALSE,FALSE,FALSE,Farrington,libertarian,FALSE,0.0031852317744929100,
11/02/1982,Iowa,IA,FALSE,FALSE,FALSE,Conlin,democratic,FALSE,0.4654955698598290,
11/02/1982,Iowa,IA,FALSE,FALSE,FALSE,Branstad,republican,FALSE,0.5281233716261060,
11/02/1982,Wisconsin,WI,FALSE,FALSE,FALSE,Seidman,independent,FALSE,0.001914447911194930,
11/02/1982,Wisconsin,WI,FALSE,FALSE,FALSE,Wickstrom,constitution,FALSE,0.004886430519780520,
11/02/1982,Wisconsin,WI,FALSE,FALSE,FALSE,Smiley,libertarian,FALSE,0.006160408584321150,
11/02/1982,Wisconsin,WI,FALSE,FALSE,FALSE,Kohler,republican,FALSE,0.4194305387667790,
11/02/1982,Wisconsin,WI,FALSE,FALSE,FALSE,Earl,democratic,FALSE,0.5676081742179240,
11/02/1982,Oklahoma,OK,FALSE,FALSE,FALSE,Wahid,independent,FALSE,0.0031297770430174500,
11/02/1982,Oklahoma,OK,FALSE,FALSE,FALSE,Daxon,republican,FALSE,0.37616998629873300,
11/02/1982,Oklahoma,OK,FALSE,FALSE,FALSE,Nigh,democratic,FALSE,0.6207002366582500,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Others,independent,TRUE,3.53955962169339E-05,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Wang,socialist workers,FALSE,0.0007166656739407150,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Ross,new alliance,FALSE,0.0010042073184772100,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Benedict,unity,FALSE,0.001208968939603120,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Northrup,free libertarian,FALSE,0.0032185253699838900,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Bohner,right to life,FALSE,0.009963289438353720,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Lehrman,republican,FALSE,0.47476284474787400,
11/02/1982,New York,NY,FALSE,FALSE,FALSE,Cuomo,democratic,FALSE,0.5090901029155510,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Boyers,socialist workers,FALSE,0.002284256088322210,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Dyer,prohibition,FALSE,0.003866754681706020,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Jackson,alabama national democratic,FALSE,0.004158267580487240,
11/02/1982,Alabama,AL,FALSE,FALSE,FALSE,Klingler,libertarian,FALSE,0.006796946646051060,
