date,state,county,candidate,party,candidatevotes,totalvotes
11/8/1960,AL,Dallas,Kennedy,democrat,2103,5269
11/8/1960,AL,Dallas,Nixon,republican,2872,5269
11/8/1960,AL,Dallas,Byrd,southern democrat,69,5269
11/8/1960,AL,Dallas,Faubus,independent,60,5269
11/8/1960,AL,Dallas,Other,other,165,5269
11/8/1960,AL,DeKalb,Kennedy,democrat,5844,11471
11/8/1960,AL,DeKalb,Nixon,republican,5585,11471
11/8/1960,AL,DeKalb,Byrd,southern democrat,12,11471
11/8/1960,AL,DeKalb,Faubus,independent,7,11471
11/8/1960,AL,DeKalb,Other,other,23,11471
11/8/1960,AL,Elmore,Kennedy,democrat,3440,5470
11/8/1960,AL,Elmore,Nixon,republican,1919,5470
11/8/1960,AL,Elmore,Byrd,southern democrat,50,5470
11/8/1960,AL,Elmore,Faubus,independent,32,5470
11/8/1960,AL,Elmore,Other,other,29,5470
11/8/1960,AL,Escambia,Kennedy,democrat,3990,5983
11/8/1960,AL,Escambia,Nixon,republican,1810,5983
11/8/1960,AL,Escambia,Byrd,southern democrat,105,5983
11/8/1960,AL,Escambia,Faubus,independent,70,5983
11/8/1960,AL,Escambia,Other,other,8,5983
11/8/1960,AL,Etowah,Kennedy,democrat,14372,22009
11/8/1960,AL,Etowah,Nixon,republican,7128,22009
11/8/1960,AL,Etowah,Byrd,southern democrat,185,22009
11/8/1960,AL,Etowah,Faubus,independent,134,22009
11/8/1960,AL,Etowah,Other,other,190,22009
11/8/1960,AL,Fayette,Kennedy,democrat,2274,4217
11/8/1960,AL,Fayette,Nixon,republican,1923,4217
11/8/1960,AL,Fayette,Byrd,southern democrat,8,4217
11/8/1960,AL,Fayette,Faubus,independent,3,4217
11/8/1960,AL,Fayette,Other,other,9,4217
11/8/1960,AL,Franklin,Kennedy,democrat,3422,7545
11/8/1960,AL,Franklin,Nixon,republican,4069,7545
11/8/1960,AL,Franklin,Byrd,southern democrat,16,7545
11/8/1960,AL,Franklin,Faubus,independent,15,7545
11/8/1960,AL,Franklin,Other,other,23,7545
11/8/1960,AL,Geneva,Kennedy,democrat,3050,4568
11/8/1960,AL,Geneva,Nixon,republican,1502,4568
11/8/1960,AL,Geneva,Byrd,southern democrat,7,4568
11/8/1960,AL,Geneva,Faubus,independent,5,4568
11/8/1960,AL,Geneva,Other,other,4,4568
11/8/1960,AL,Greene,Kennedy,democrat,723,1136
11/8/1960,AL,Greene,Nixon,republican,381,1136
11/8/1960,AL,Greene,Byrd,southern democrat,19,1136
11/8/1960,AL,Greene,Faubus,independent,11,1136
11/8/1960,AL,Greene,Other,other,2,1136
11/8/1960,AL,Hale,Kennedy,democrat,1309,2072
11/8/1960,AL,Hale,Nixon,republican,741,2072
11/8/1960,AL,Hale,Byrd,southern democrat,10,2072
11/8/1960,AL,Hale,Faubus,independent,9,2072
11/8/1960,AL,Hale,Other,other,3,2072
11/8/1960,AL,Henry,Kennedy,democrat,2115,2725
11/8/1960,AL,Henry,Nixon,republican,588,2725
11/8/1960,AL,Henry,Byrd,southern democrat,11,2725
11/8/1960,AL,Henry,Faubus,independent,5,2725
11/8/1960,AL,Henry,Other,other,6,2725
11/8/1960,AL,Houston,Kennedy,democrat,3897,8078
11/8/1960,AL,Houston,Nixon,republican,4055,8078
