date,region,state_po,class,special,runoff,offyear,candidate,party,writein,voteshare,version
11/08/1960,Virginia,VA,2,FALSE,FALSE,FALSE,Robertson,democratic,FALSE,0.8142085029034700,kachang
11/08/1960,Kentucky,KY,2,FALSE,FALSE,FALSE,Johnson,democratic,FALSE,0.40850680079381600,kachang
11/08/1960,Kentucky,KY,2,FALSE,FALSE,FALSE,Cooper,republican,FALSE,0.5914931992061840,kachang
11/08/1960,Colorado,CO,2,FALSE,FALSE,FALSE,Casey,independent,FALSE,0.0046053436279003300,kachang
11/08/1960,Colorado,CO,2,FALSE,FALSE,FALSE,Knous,democratic,FALSE,0.4601962802676620,kachang
11/08/1960,Colorado,CO,2,FALSE,FALSE,FALSE,Allott,republican,FALSE,0.5351983761044370,kachang
11/08/1960,Iowa,IA,2,FALSE,FALSE,FALSE,Loveless,democratic,FALSE,0.48080244828973600,kachang
11/08/1960,Iowa,IA,2,FALSE,FALSE,FALSE,Miller,republican,FALSE,0.5191975517102640,kachang
11/08/1960,Louisiana,LA,2,FALSE,FALSE,FALSE,Reese,republican,FALSE,0.20242247096467000,kachang
11/08/1960,Louisiana,LA,2,FALSE,FALSE,FALSE,Ellender,democratic,FALSE,0.7975775290353300,kachang
11/08/1960,Wyoming,WY,2,FALSE,FALSE,FALSE,Whitaker,democratic,FALSE,0.4362829303500540,kachang
11/08/1960,Wyoming,WY,2,FALSE,FALSE,FALSE,Thomson,republican,FALSE,0.5637170696499460,kachang
11/08/1960,West Virginia,WV,2,FALSE,FALSE,FALSE,Underwood,republican,FALSE,0.4466249743447340,kachang
11/08/1960,West Virginia,WV,2,FALSE,FALSE,FALSE,Randolph,democratic,FALSE,0.5533750256552660,kachang
11/08/1960,Missouri,MO,3,TRUE,FALSE,FALSE,Hocker,republican,FALSE,0.46833369499083100,kachang
11/08/1960,Missouri,MO,3,TRUE,FALSE,FALSE,Long,democratic,FALSE,0.5316663050091690,kachang
11/08/1960,Rhode Island,RI,2,FALSE,FALSE,FALSE,Archambault,republican,FALSE,0.31103321891180400,kachang
11/08/1960,Rhode Island,RI,2,FALSE,FALSE,FALSE,Pell,democratic,FALSE,0.6889667810881960,kachang
11/08/1960,Nebraska,NE,2,FALSE,FALSE,FALSE,Conrad,democratic,FALSE,0.4106673572186350,kachang
11/08/1960,Nebraska,NE,2,FALSE,FALSE,FALSE,Curtis,republican,FALSE,0.5893326427813650,kachang
11/08/1960,South Carolina,SC,2,FALSE,FALSE,FALSE,Others,independent,FALSE,0.0003088391583830150,kachang
11/08/1960,South Carolina,SC,2,FALSE,FALSE,FALSE,Thurmond,democratic,FALSE,0.999691160841617,kachang
11/08/1960,Minnesota,MN,2,FALSE,FALSE,FALSE,Feingold,socialist workers,FALSE,0.0026580533159296500,kachang
11/08/1960,Minnesota,MN,2,FALSE,FALSE,FALSE,Peterson,republican,FALSE,0.4220259897100480,kachang
11/08/1960,Minnesota,MN,2,FALSE,FALSE,FALSE,Humphrey,democratic,FALSE,0.5753159569740230,kachang
11/08/1960,Oregon,OR,2,FALSE,FALSE,FALSE,Write-In,nonpartisan,FALSE,0.00014420373739044200,kachang
11/08/1960,Oregon,OR,2,FALSE,FALSE,FALSE,Smith,republican,FALSE,0.4537906399867700,kachang
11/08/1960,Oregon,OR,2,FALSE,FALSE,FALSE,Neuberger,democratic,FALSE,0.5460651562758390,kachang
11/08/1960,Alaska,AK,2,FALSE,FALSE,FALSE,McKinley,republican,FALSE,0.3657507752842710,kachang
11/08/1960,Alaska,AK,2,FALSE,FALSE,FALSE,Bartlett,democratic,FALSE,0.6342492247157290,kachang
11/08/1960,Alabama,AL,2,FALSE,FALSE,FALSE,Write-In,nonpartisan,FALSE,1.44385567218701E-05,kachang
11/08/1960,Alabama,AL,2,FALSE,FALSE,FALSE,Elgin,republican,FALSE,0.2975569962026600,kachang
11/08/1960,Alabama,AL,2,FALSE,FALSE,FALSE,Sparkman,democratic,FALSE,0.7024285652406190,kachang
11/08/1960,Illinois,IL,2,FALSE,FALSE,FALSE,Fisher,socialist labor,FALSE,0.0017283299329389900,kachang
11/08/1960,Illinois,IL,2,FALSE,FALSE,FALSE,Witwer,republican,FALSE,0.451961623175292,kachang
11/08/1960,Illinois,IL,2,FALSE,FALSE,FALSE,Douglas,democratic,FALSE,0.546310046891769,kachang
11/08/1960,Massachusetts,MA,2,FALSE,FALSE,FALSE,Others,other,FALSE,1.24079074767155E-06,kachang
11/08/1960,Massachusetts,MA,2,FALSE,FALSE,FALSE,Shaw,prohibition,FALSE,0.001155589782998110,kachang
11/08/1960,Massachusetts,MA,2,FALSE,FALSE,FALSE,Gilfedder,socialist labor,FALSE,0.0023719783126321200,kachang
11/08/1960,Massachusetts,MA,2,FALSE,FALSE,FALSE,O'Connor,democratic,FALSE,0.4345766194490640,kachang
11/08/1960,Massachusetts,MA,2,FALSE,FALSE,FALSE,Saltonstall,republican,FALSE,0.561894571664558,kachang
11/08/1960,Texas,TX,2,FALSE,FALSE,FALSE,Logan,constitution,FALSE,0.009098476162755610,kachang
11/08/1960,Texas,TX,2,FALSE,FALSE,FALSE,Tower,republican,FALSE,0.4111543076000190,kachang
11/08/1960,Texas,TX,2,FALSE,FALSE,FALSE,Johnson,democratic,FALSE,0.5797472162372260,kachang
11/08/1960,Maine,ME,2,FALSE,FALSE,FALSE,Cormier,democratic,FALSE,0.3835118394812560,kachang
11/08/1960,Maine,ME,2,FALSE,FALSE,FALSE,Smith,republican,FALSE,0.6164881605187440,kachang
11/08/1960,Kansas,KS,2,FALSE,FALSE,FALSE,Cowen,prohibition,FALSE,0.015978086680951400,kachang
11/08/1960,Kansas,KS,2,FALSE,FALSE,FALSE,Theis,democratic,FALSE,0.43765305111907400,kachang
11/08/1960,Kansas,KS,2,FALSE,FALSE,FALSE,Schoeppel,republican,FALSE,0.5463688621999750,kachang
11/08/1960,Arkansas,AR,2,FALSE,FALSE,FALSE,Fuchs,independent,FALSE,0.0011894512364729700,kachang
11/08/1960,Arkansas,AR,2,FALSE,FALSE,FALSE,McClellan,democratic,FALSE,0.998810548763527,kachang
